// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\hitmasu\source\repos\AutoMapper.Patcher\AutoMapper.Example\bin\Release\netcoreapp3.1\fcc885da-714b-4854-9535-b128a9213d76
// command took 1,53s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\hitmasu\source\repos\AutoMapper.Patcher\AutoMapper.Example\bin\Release\netcoreapp3.1\fcc885da-714b-4854-9535-b128a9213d76
// command took 2,33s and exited with 0
// ***** Done, took 00:00:03 (3.97 sec)   *****
// Found 2 benchmarks:
//   BenchmarkAutoMapper.MapWIthJitex: DefaultJob
//   BenchmarkAutoMapper.MapWithoutJitex: DefaultJob

// **************************
// Benchmark: BenchmarkAutoMapper.MapWIthJitex: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "fcc885da-714b-4854-9535-b128a9213d76.dll" --benchmarkName "AutoMapper.Example.BenchmarkAutoMapper.MapWIthJitex" --job "Default" --benchmarkId 0 in C:\Users\hitmasu\source\repos\AutoMapper.Patcher\AutoMapper.Example\bin\Release\netcoreapp3.1\fcc885da-714b-4854-9535-b128a9213d76\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.3 (CoreCLR 4.700.20.11803, CoreFX 4.700.20.12001), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 369500.00 ns, 369.5000 us/op
WorkloadJitting  1: 1 op, 10766800.00 ns, 10.7668 ms/op

OverheadJitting  2: 16 op, 798400.00 ns, 49.9000 us/op
WorkloadJitting  2: 16 op, 667400.00 ns, 41.7125 us/op

WorkloadPilot    1: 16 op, 2200.00 ns, 137.5000 ns/op
WorkloadPilot    2: 32 op, 1800.00 ns, 56.2500 ns/op
WorkloadPilot    3: 64 op, 2400.00 ns, 37.5000 ns/op
WorkloadPilot    4: 128 op, 4200.00 ns, 32.8125 ns/op
WorkloadPilot    5: 256 op, 7300.00 ns, 28.5156 ns/op
WorkloadPilot    6: 512 op, 12400.00 ns, 24.2188 ns/op
WorkloadPilot    7: 1024 op, 27200.00 ns, 26.5625 ns/op
WorkloadPilot    8: 2048 op, 50800.00 ns, 24.8047 ns/op
WorkloadPilot    9: 4096 op, 92200.00 ns, 22.5098 ns/op
WorkloadPilot   10: 8192 op, 180000.00 ns, 21.9727 ns/op
WorkloadPilot   11: 16384 op, 408700.00 ns, 24.9451 ns/op
WorkloadPilot   12: 32768 op, 1033700.00 ns, 31.5460 ns/op
WorkloadPilot   13: 65536 op, 2020600.00 ns, 30.8319 ns/op
WorkloadPilot   14: 131072 op, 3215700.00 ns, 24.5338 ns/op
WorkloadPilot   15: 262144 op, 6085200.00 ns, 23.2132 ns/op
WorkloadPilot   16: 524288 op, 13484500.00 ns, 25.7196 ns/op
WorkloadPilot   17: 1048576 op, 24709900.00 ns, 23.5652 ns/op
WorkloadPilot   18: 2097152 op, 52048300.00 ns, 24.8186 ns/op
WorkloadPilot   19: 4194304 op, 71212000.00 ns, 16.9783 ns/op
WorkloadPilot   20: 8388608 op, 101568300.00 ns, 12.1079 ns/op
WorkloadPilot   21: 16777216 op, 182313600.00 ns, 10.8667 ns/op
WorkloadPilot   22: 33554432 op, 355795100.00 ns, 10.6035 ns/op
WorkloadPilot   23: 67108864 op, 719380800.00 ns, 10.7196 ns/op

OverheadWarmup   1: 67108864 op, 230863500.00 ns, 3.4401 ns/op
OverheadWarmup   2: 67108864 op, 230079600.00 ns, 3.4285 ns/op
OverheadWarmup   3: 67108864 op, 228406600.00 ns, 3.4035 ns/op
OverheadWarmup   4: 67108864 op, 229646400.00 ns, 3.4220 ns/op
OverheadWarmup   5: 67108864 op, 228312500.00 ns, 3.4021 ns/op
OverheadWarmup   6: 67108864 op, 230790000.00 ns, 3.4390 ns/op
OverheadWarmup   7: 67108864 op, 229138300.00 ns, 3.4144 ns/op

OverheadActual   1: 67108864 op, 232755600.00 ns, 3.4683 ns/op
OverheadActual   2: 67108864 op, 226977000.00 ns, 3.3822 ns/op
OverheadActual   3: 67108864 op, 232185000.00 ns, 3.4598 ns/op
OverheadActual   4: 67108864 op, 228490200.00 ns, 3.4048 ns/op
OverheadActual   5: 67108864 op, 230977500.00 ns, 3.4418 ns/op
OverheadActual   6: 67108864 op, 229666800.00 ns, 3.4223 ns/op
OverheadActual   7: 67108864 op, 231820700.00 ns, 3.4544 ns/op
OverheadActual   8: 67108864 op, 230809500.00 ns, 3.4393 ns/op
OverheadActual   9: 67108864 op, 229898300.00 ns, 3.4258 ns/op
OverheadActual  10: 67108864 op, 233521600.00 ns, 3.4797 ns/op
OverheadActual  11: 67108864 op, 231621700.00 ns, 3.4514 ns/op
OverheadActual  12: 67108864 op, 228456800.00 ns, 3.4043 ns/op
OverheadActual  13: 67108864 op, 229339800.00 ns, 3.4174 ns/op
OverheadActual  14: 67108864 op, 231458200.00 ns, 3.4490 ns/op
OverheadActual  15: 67108864 op, 230389300.00 ns, 3.4331 ns/op

WorkloadWarmup   1: 67108864 op, 721411900.00 ns, 10.7499 ns/op
WorkloadWarmup   2: 67108864 op, 724541600.00 ns, 10.7965 ns/op
WorkloadWarmup   3: 67108864 op, 711080800.00 ns, 10.5959 ns/op
WorkloadWarmup   4: 67108864 op, 721083600.00 ns, 10.7450 ns/op
WorkloadWarmup   5: 67108864 op, 720149800.00 ns, 10.7311 ns/op
WorkloadWarmup   6: 67108864 op, 708194200.00 ns, 10.5529 ns/op

// BeforeActualRun
WorkloadActual   1: 67108864 op, 714141300.00 ns, 10.6415 ns/op
WorkloadActual   2: 67108864 op, 721601000.00 ns, 10.7527 ns/op
WorkloadActual   3: 67108864 op, 704928700.00 ns, 10.5043 ns/op
WorkloadActual   4: 67108864 op, 725850600.00 ns, 10.8160 ns/op
WorkloadActual   5: 67108864 op, 717249300.00 ns, 10.6878 ns/op
