// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\hitmasu\source\repos\AutoMapper.Patcher\AutoMapper.Example\bin\Release\netcoreapp3.1\d99558fd-65ca-4e66-883b-91a0da60bdb0
// command took 2,01s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\hitmasu\source\repos\AutoMapper.Patcher\AutoMapper.Example\bin\Release\netcoreapp3.1\d99558fd-65ca-4e66-883b-91a0da60bdb0
// command took 2,33s and exited with 0
// ***** Done, took 00:00:04 (4.45 sec)   *****
// Found 2 benchmarks:
//   BenchmarkAutoMapper.MapWithJitex: DefaultJob
//   BenchmarkAutoMapper.MapWithoutJitex: DefaultJob

// **************************
// Benchmark: BenchmarkAutoMapper.MapWithJitex: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "d99558fd-65ca-4e66-883b-91a0da60bdb0.dll" --benchmarkName "AutoMapper.Example.BenchmarkAutoMapper.MapWithJitex" --job "Default" --benchmarkId 0 in C:\Users\hitmasu\source\repos\AutoMapper.Patcher\AutoMapper.Example\bin\Release\netcoreapp3.1\d99558fd-65ca-4e66-883b-91a0da60bdb0\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.5 (CoreCLR 4.700.20.26901, CoreFX 4.700.20.27001), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 353800.00 ns, 353.8000 us/op
WorkloadJitting  1: 1 op, 62666500.00 ns, 62.6665 ms/op

WorkloadPilot    1: 2 op, 1400.00 ns, 700.0000 ns/op
WorkloadPilot    2: 3 op, 2500.00 ns, 833.3333 ns/op
WorkloadPilot    3: 4 op, 6800.00 ns, 1.7000 us/op
WorkloadPilot    4: 5 op, 2100.00 ns, 420.0000 ns/op
WorkloadPilot    5: 6 op, 1800.00 ns, 300.0000 ns/op
WorkloadPilot    6: 7 op, 1700.00 ns, 242.8571 ns/op
WorkloadPilot    7: 8 op, 1800.00 ns, 225.0000 ns/op
WorkloadPilot    8: 9 op, 2000.00 ns, 222.2222 ns/op
WorkloadPilot    9: 10 op, 1800.00 ns, 180.0000 ns/op
WorkloadPilot   10: 11 op, 2400.00 ns, 218.1818 ns/op
WorkloadPilot   11: 12 op, 2600.00 ns, 216.6667 ns/op
WorkloadPilot   12: 13 op, 2300.00 ns, 176.9231 ns/op
WorkloadPilot   13: 14 op, 1700.00 ns, 121.4286 ns/op
WorkloadPilot   14: 15 op, 1900.00 ns, 126.6667 ns/op
WorkloadPilot   15: 16 op, 2700.00 ns, 168.7500 ns/op
WorkloadPilot   16: 32 op, 5600.00 ns, 175.0000 ns/op
WorkloadPilot   17: 64 op, 2700.00 ns, 42.1875 ns/op
WorkloadPilot   18: 128 op, 5300.00 ns, 41.4062 ns/op
WorkloadPilot   19: 256 op, 7400.00 ns, 28.9062 ns/op
WorkloadPilot   20: 512 op, 13400.00 ns, 26.1719 ns/op
WorkloadPilot   21: 1024 op, 27600.00 ns, 26.9531 ns/op
